"","Time_of_day","mo","n","per"
"1","Night",2,1,"9.09%"
"2","Night",3,17,"11.72%"
"3","Night",4,11,"13.75%"
"4","Night",5,27,"10.19%"
"5","Night",6,8,"7.62%"
"6","Night",7,12,"9.23%"
"7","Night",8,14,"9.03%"
"8","Night",9,5,"16.67%"
"9","Night",10,11,"7.28%"
"10","Night",11,4,"16%"
"11","Night",12,50,"19.92%"
"12","Morning",1,2,"12.5%"
"13","Morning",3,18,"12.41%"
"14","Morning",4,14,"17.5%"
"15","Morning",5,33,"12.45%"
"16","Morning",6,10,"9.52%"
"17","Morning",7,8,"6.15%"
"18","Morning",8,28,"18.06%"
"19","Morning",9,2,"6.67%"
"20","Morning",10,10,"6.62%"
"21","Morning",11,1,"4%"
"22","Morning",12,5,"1.99%"
"23","Afternoon",1,12,"75%"
"24","Afternoon",2,8,"72.73%"
"25","Afternoon",3,78,"53.79%"
"26","Afternoon",4,39,"48.75%"
"27","Afternoon",5,175,"66.04%"
"28","Afternoon",6,61,"58.1%"
"29","Afternoon",7,84,"64.62%"
"30","Afternoon",8,89,"57.42%"
"31","Afternoon",9,19,"63.33%"
"32","Afternoon",10,79,"52.32%"
"33","Afternoon",11,17,"68%"
"34","Afternoon",12,109,"43.43%"
"35","Evening",1,2,"12.5%"
"36","Evening",2,2,"18.18%"
"37","Evening",3,32,"22.07%"
"38","Evening",4,16,"20%"
"39","Evening",5,30,"11.32%"
"40","Evening",6,26,"24.76%"
"41","Evening",7,26,"20%"
"42","Evening",8,24,"15.48%"
"43","Evening",9,4,"13.33%"
"44","Evening",10,51,"33.77%"
"45","Evening",11,3,"12%"
"46","Evening",12,87,"34.66%"
