"","mo","Time_of_day","n","per"
"1",1,"Morning",2,"12.5%"
"2",1,"Afternoon",12,"75%"
"3",1,"Evening",2,"12.5%"
"4",2,"Night",1,"9.09%"
"5",2,"Afternoon",8,"72.73%"
"6",2,"Evening",2,"18.18%"
"7",3,"Night",17,"11.72%"
"8",3,"Morning",18,"12.41%"
"9",3,"Afternoon",78,"53.79%"
"10",3,"Evening",32,"22.07%"
"11",4,"Night",11,"13.75%"
"12",4,"Morning",14,"17.5%"
"13",4,"Afternoon",39,"48.75%"
"14",4,"Evening",16,"20%"
"15",5,"Night",27,"10.19%"
"16",5,"Morning",33,"12.45%"
"17",5,"Afternoon",175,"66.04%"
"18",5,"Evening",30,"11.32%"
"19",6,"Night",8,"7.62%"
"20",6,"Morning",10,"9.52%"
"21",6,"Afternoon",61,"58.1%"
"22",6,"Evening",26,"24.76%"
"23",7,"Night",12,"9.23%"
"24",7,"Morning",8,"6.15%"
"25",7,"Afternoon",84,"64.62%"
"26",7,"Evening",26,"20%"
"27",8,"Night",14,"9.03%"
"28",8,"Morning",28,"18.06%"
"29",8,"Afternoon",89,"57.42%"
"30",8,"Evening",24,"15.48%"
"31",9,"Night",5,"16.67%"
"32",9,"Morning",2,"6.67%"
"33",9,"Afternoon",19,"63.33%"
"34",9,"Evening",4,"13.33%"
"35",10,"Night",11,"7.28%"
"36",10,"Morning",10,"6.62%"
"37",10,"Afternoon",79,"52.32%"
"38",10,"Evening",51,"33.77%"
"39",11,"Night",4,"16%"
"40",11,"Morning",1,"4%"
"41",11,"Afternoon",17,"68%"
"42",11,"Evening",3,"12%"
"43",12,"Night",50,"19.92%"
"44",12,"Morning",5,"1.99%"
"45",12,"Afternoon",109,"43.43%"
"46",12,"Evening",87,"34.66%"
